            6. Чисельність наявного населення в розрізі регіонів                                            ,,,,,,,
"                              районів, міст, селищ міського типу1",,,,,,,
,,,,,,,
,,,        (на 1 січня; осіб),,,,
,2013,2014,2015,,,,
,,,,,,,
  Липовецький район,"39,194","38,736","38,451",,,,
    Міське населення,"15,254","15,175","15,141",,,,
        м. Липовець,"8,727","8,691","8,674",,,,
        смт Турбів,"6,527","6,484","6,467",,,,
    Сільське населення,"23,940","23,561","23,310",,,,
,,,,,,,
,,,,,,,
  Літинський район,"36,539","36,366","36,008",,,,
    Міське населення,"6,719","6,766","6,742",,,,
        смт Літин,"6,719","6,766","6,742",,,,
    Сільське населення,"29,820","29,600","29,266",,,,
  Могилів-Подільський район,"34,106","33,696","33,424",,,,
    Міське населення,"3,909","3,861","3,867",,,,
        смт Вендичани,"3,909","3,861","3,867",,,,
    Сільське населення,"30,197","29,835","29,557",,,,
  Мурованокуриловецький район,"26,734","26,356","26,007",,,,
    Міське населення,"6,039","5,997","5,977",,,,
        смт Муровані Курилівці,"6,039","5,997","5,977",,,,
    Сільське населення,"20,695","20,359","20,030",,,,
  Немирівський район,"51,261","50,715","50,151",,,,
    Міське населення,"19,947","19,828","19,690",,,,
        м. Немирів,"11,900","11,861","11,829",,,,
        смт Брацлав,"5,681","5,635","5,557",,,,
        смт Ситківці,"2,366","2,332","2,304",,,,
    Сільське населення,"31,314","30,887","30,461",,,,
  Оратівський район,"22,356","22,057","21,762",,,,
    Міське населення,"2,882","2,861","2,874",,,,
        смт Оратів,"2,882","2,861","2,874",,,,
    Сільське населення,"19,474","19,196","18,888",,,,
  Піщанський район,"21,667","21,399","21,206",,,,
    Міське населення,"6,491","6,445","6,454",,,,
        смт Піщанка,"5,318","5,282","5,296",,,,
        смт Рудниця,"1,173","1,163","1,158",,,,
    Сільське населення,"15,176","14,954","14,752",,,,
  Погребищенський район,"31,512","31,144","30,675",,,,
    Міське населення,"9,898","9,814","9,765",,,,
        м. Погребище,"9,898","9,814","9,765",,,,
    Сільське населення,"21,614","21,330","20,910",,,,
  Теплицький район,"29,772","29,312","28,886",,,,
    Міське населення,"6,456","6,415","6,376",,,,
        смт Теплик,"6,456","6,415","6,376",,,,
    Сільське населення,"23,316","22,897","22,510",,,,
  Тиврівський район,"43,486","43,212","42,867",,,,
    Міське населення,"22,990","22,992","22,869",,,,
        м. Гнівань,"12,587","12,577","12,570",,,,
        смт Тиврів,"4,252","4,247","4,162",,,,
        смт Сутиски,"6,151","6,168","6,137",,,,
    Сільське населення,"20,496","20,220","19,998",,,,
,,,,,,,
  Томашпільський район,"34,627","34,274","34,019",,,,
    Міське населення,"13,406","13,337","13,335",,,,
        смт Томашпіль,"5,513","5,507","5,495",,,,
        смт Вапнярка,"7,893","7,830","7,840",,,,
    Сільське населення,"21,221","20,937","20,684",,,,
  Тростянецький район,"36,940","36,582","36,290",,,,
    Міське населення,"7,840","7,838","7,818",,,,
        смт Тростянець,"7,840","7,838","7,818",,,,
    Сільське населення,"29,100","28,744","28,472",,,,
  Тульчинський район,"57,230","56,929","56,497",,,,
    Міське населення,"24,487","24,434","24,275",,,,
        м. Тульчин,"15,849","15,845","15,763",,,,
        смт Кирнасівка,"5,283","5,269","5,228",,,,
        смт Шпиків,"3,355","3,320","3,284",,,,
    Сільське населення,"32,743","32,495","32,222",,,,
  Хмільницький район,"38,048","37,588","37,202",,,,
    Сільське населення,"38,048","37,588","37,202",,,,
  Чернівецький район,"22,721","22,299","21,979",,,,
    Міське населення,"2,891","2,867","2,830",,,,
        смт Чернівці ,"2,891","2,867","2,830",,,,
    Сільське населення,"19,830","19,432","19,149",,,,
  Чечельницький район,"22,385","22,085","21,830",,,,
    Міське населення,"5,166","5,147","5,132",,,,
       смт Чечельник,"5,166","5,147","5,132",,,,
    Сільське населення,"17,219","16,938","16,698",,,,
  Шаргородський район,"58,556","58,160","57,954",,,,
    Міське населення,"6,975","6,981","6,987",,,,
        м. Шаргород,"6,975","6,981","6,987",,,,
    Сільське населення,"51,581","51,179","50,967",,,,
  Ямпільський район,"41,530","41,212","40,939",,,,
    Міське населення,"11,300","11,329","11,346",,,,
        м. Ямпіль,"11,300","11,329","11,346",,,,
    Сільське населення,"30,230","29,883","29,593",,,,
,,,,,,,
Волинська область,"1,039,958","1,041,303","1,042,918",,,,
 Міське населення,"541,435","543,654","545,459",,,,
 Сільське населення,"498,523","497,649","497,459",,,,
  м. Луцьк,"214,727","216,076","217,103",,,,
  м. Володимир-Волинський,"38,870","38,964","39,074",,,,
  м. Ковель,"68,912","69,032","69,342",,,,
  Нововолинськ (міськрада),"57,947","58,074","58,040",,,,
    Міське населення,"57,947","58,074","58,040",,,,
        м. Нововолинськ,"53,199","53,298","53,249",,,,
        смт Жовтневе,"4,748","4,776","4,791",,,,
  Володимир-Волинський район,"25,616","25,614","25,544",,,,
    Міське населення,"2,214","2,218","2,200",,,,
        м. Устилуг,"2,214","2,218","2,200",,,,
    Сільське населення,"23,402","23,396","23,344",,,,
  Горохівський район,"52,805","52,420","52,081",,,,
    Міське населення,"14,959","15,044","14,992",,,,
        м. Горохів,"9,093","9,172","9,165",,,,
        м. Берестечко,"1,752","1,757","1,727",,,,
        смт Мар'янівка,"2,807","2,824","2,818",,,,
        смт Сенкевичівка,"1,307","1,291","1,282",,,,
    Сільське населення,"37,846","37,376","37,089",,,,
  Іваничівський район,"32,585","32,355","32,300",,,,
    Міське населення,"6,810","6,776","6,738",,,,
        смт Іваничі,"6,810","6,776","6,738",,,,
    Сільське населення,"25,775","25,579","25,562",,,,
  Камінь-Каширський район,"63,100","63,396","63,721",,,,
    Міське населення,"12,018","12,190","12,330",,,,
        м. Камінь-Каширський,"12,018","12,190","12,330",,,,
    Сільське населення,"51,082","51,206","51,391",,,,
  Ківерцівський район,"63,908","63,884","63,909",,,,
    Міське населення,"24,083","23,989","23,929",,,,
        м. Ківерці,"14,611","14,480","14,376",,,,
        смт Олика,"3,133","3,138","3,130",,,,
        смт Цумань,"6,339","6,371","6,423",,,,
    Сільське населення,"39,825","39,895","39,980",,,,
  Ковельський район,"40,496","40,383","40,347",,,,
    Міське населення,"8,581","8,608","8,613",,,,
        смт Голоби,"4,098","4,104","4,078",,,,
        смт Люблинець,"4,483","4,504","4,535",,,,
    Сільське населення,"31,915","31,775","31,734",,,,
  Локачинський район,"22,743","22,552","22,425",,,,
    Міське населення,"3,920","3,888","3,887",,,,
        смт Локачі,"3,920","3,888","3,887",,,,
    Сільське населення,"18,823","18,664","18,538",,,,
  Луцький район,"61,569","62,100","62,770",,,,
